Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1731585465,2024-11-14T11:57:45Z,SAS957,"59.65317,17.93805",0,2,239
1731585474,2024-11-14T11:57:54Z,SAS957,"59.65321,17.93825",0,3,236
1731585481,2024-11-14T11:58:01Z,SAS957,"59.65324,17.93845",0,3,225
1731585490,2024-11-14T11:58:10Z,SAS957,"59.65332,17.93866",0,3,219
1731585500,2024-11-14T11:58:20Z,SAS957,"59.65344,17.93889",0,3,216
1731585516,2024-11-14T11:58:36Z,SAS957,"59.65366,17.93906",0,3,241
1731585528,2024-11-14T11:58:48Z,SAS957,"59.6538,17.93928",0,3,264
1731585537,2024-11-14T11:58:57Z,SAS957,"59.6539,17.93948",0,3,289
1731585713,2024-11-14T12:01:53Z,SAS957,"59.65411,17.9393",0,5,320
1731585722,2024-11-14T12:02:02Z,SAS957,"59.65434,17.93928",0,5,345
1731585732,2024-11-14T12:02:12Z,SAS957,"59.65458,17.93923",0,6,348
1731585739,2024-11-14T12:02:19Z,SAS957,"59.65478,17.93911",0,6,345
1731585747,2024-11-14T12:02:27Z,SAS957,"59.65499,17.93903",0,7,345
1731585754,2024-11-14T12:02:34Z,SAS957,"59.65522,17.93891",0,7,345
1731585761,2024-11-14T12:02:41Z,SAS957,"59.65546,17.9388",0,6,345
1731585768,2024-11-14T12:02:48Z,SAS957,"59.65568,17.93868",0,7,345
1731585776,2024-11-14T12:02:56Z,SAS957,"59.65597,17.93854",0,8,345
1731585783,2024-11-14T12:03:03Z,SAS957,"59.65622,17.93842",0,8,345
1731585790,2024-11-14T12:03:10Z,SAS957,"59.65647,17.93828",0,9,345
1731585796,2024-11-14T12:03:16Z,SAS957,"59.6567,17.93795",0,11,326
1731585800,2024-11-14T12:03:20Z,SAS957,"59.65676,17.93754",0,11,300
1731585804,2024-11-14T12:03:24Z,SAS957,"59.65672,17.93717",0,12,278
1731585806,2024-11-14T12:03:26Z,SAS957,"59.65669,17.93694",0,12,267
1731585810,2024-11-14T12:03:30Z,SAS957,"59.65662,17.93653",0,12,258
1731585812,2024-11-14T12:03:32Z,SAS957,"59.6566,17.93629",0,12,258
1731585814,2024-11-14T12:03:34Z,SAS957,"59.65657,17.93607",0,13,255
1731585816,2024-11-14T12:03:36Z,SAS957,"59.65654,17.93584",0,13,255
1731585818,2024-11-14T12:03:38Z,SAS957,"59.65649,17.93552",0,14,255
1731585820,2024-11-14T12:03:40Z,SAS957,"59.65647,17.93528",0,14,255
1731585822,2024-11-14T12:03:42Z,SAS957,"59.65644,17.93504",0,15,255
1731585824,2024-11-14T12:03:44Z,SAS957,"59.6564,17.93477",0,15,255
1731585827,2024-11-14T12:03:47Z,SAS957,"59.65636,17.9344",0,15,255
1731585829,2024-11-14T12:03:49Z,SAS957,"59.65632,17.93411",0,16,255
1731585831,2024-11-14T12:03:51Z,SAS957,"59.65628,17.93388",0,16,255
1731585839,2024-11-14T12:03:59Z,SAS957,"59.65612,17.93248",0,17,255
1731585848,2024-11-14T12:04:08Z,SAS957,"59.65595,17.93125",0,13,255
1731585857,2024-11-14T12:04:17Z,SAS957,"59.65584,17.93035",0,13,255
1731585864,2024-11-14T12:04:24Z,SAS957,"59.65574,17.9295",0,13,255
1731585871,2024-11-14T12:04:31Z,SAS957,"59.65562,17.92865",0,14,255
1731585878,2024-11-14T12:04:38Z,SAS957,"59.6555,17.9277",0,15,255
1731585886,2024-11-14T12:04:46Z,SAS957,"59.65535,17.92654",0,16,255
1731585893,2024-11-14T12:04:53Z,SAS957,"59.65521,17.92561",0,13,253
1731585895,2024-11-14T12:04:55Z,SAS957,"59.65517,17.9254",0,13,250
1731585897,2024-11-14T12:04:57Z,SAS957,"59.65512,17.9252",0,14,247
1731585899,2024-11-14T12:04:59Z,SAS957,"59.65504,17.92498",0,14,241
1731585903,2024-11-14T12:05:03Z,SAS957,"59.65488,17.92458",0,14,233
1731585906,2024-11-14T12:05:06Z,SAS957,"59.65475,17.92431",0,15,227
1731585909,2024-11-14T12:05:09Z,SAS957,"59.65457,17.92399",0,15,225
1731585912,2024-11-14T12:05:12Z,SAS957,"59.65445,17.92376",0,15,225
1731585914,2024-11-14T12:05:14Z,SAS957,"59.6543,17.92348",0,15,225
1731585917,2024-11-14T12:05:17Z,SAS957,"59.65416,17.92322",0,15,222
1731585921,2024-11-14T12:05:21Z,SAS957,"59.65396,17.92298",0,12,216
1731585925,2024-11-14T12:05:25Z,SAS957,"59.65375,17.9228",0,13,208
1731585929,2024-11-14T12:05:29Z,SAS957,"59.65351,17.9227",0,13,196
1731585935,2024-11-14T12:05:35Z,SAS957,"59.65321,17.92263",0,13,191
1731585938,2024-11-14T12:05:38Z,SAS957,"59.65298,17.92254",0,14,191
1731585942,2024-11-14T12:05:42Z,SAS957,"59.65276,17.92248",0,14,188
1731585947,2024-11-14T12:05:47Z,SAS957,"59.65242,17.92235",0,15,191
1731585950,2024-11-14T12:05:50Z,SAS957,"59.6522,17.92227",0,0,191
1731585954,2024-11-14T12:05:54Z,SAS957,"59.65196,17.92218",0,15,191
1731585959,2024-11-14T12:05:59Z,SAS957,"59.65153,17.92202",0,15,188
1731585967,2024-11-14T12:06:07Z,SAS957,"59.65098,17.92183",0,16,191
1731585973,2024-11-14T12:06:13Z,SAS957,"59.65049,17.92166",0,17,191
1731585980,2024-11-14T12:06:20Z,SAS957,"59.64994,17.92145",0,17,191
1731585990,2024-11-14T12:06:30Z,SAS957,"59.64919,17.92119",0,0,191
1731585998,2024-11-14T12:06:38Z,SAS957,"59.64844,17.9209",0,19,191
1731586005,2024-11-14T12:06:45Z,SAS957,"59.64777,17.92067",0,19,191
1731586015,2024-11-14T12:06:55Z,SAS957,"59.64689,17.92036",0,19,191
1731586022,2024-11-14T12:07:02Z,SAS957,"59.64631,17.92014",0,19,191
1731586030,2024-11-14T12:07:10Z,SAS957,"59.64554,17.91987",0,19,191
1731586037,2024-11-14T12:07:17Z,SAS957,"59.64489,17.91962",0,19,191
1731586044,2024-11-14T12:07:24Z,SAS957,"59.64426,17.91939",0,19,191
1731586052,2024-11-14T12:07:32Z,SAS957,"59.64354,17.91915",0,19,191
1731586059,2024-11-14T12:07:39Z,SAS957,"59.64291,17.91893",0,20,191
1731586066,2024-11-14T12:07:46Z,SAS957,"59.64225,17.91868",0,20,191
1731586073,2024-11-14T12:07:53Z,SAS957,"59.64158,17.91845",0,20,191
1731586081,2024-11-14T12:08:01Z,SAS957,"59.64084,17.91818",0,21,191
1731586089,2024-11-14T12:08:09Z,SAS957,"59.64003,17.91787",0,22,191
1731586096,2024-11-14T12:08:16Z,SAS957,"59.63928,17.91763",0,21,191
1731586103,2024-11-14T12:08:23Z,SAS957,"59.6387,17.91735",0,17,194
1731586107,2024-11-14T12:08:27Z,SAS957,"59.63845,17.91716",0,15,199
1731586113,2024-11-14T12:08:33Z,SAS957,"59.63815,17.91687",0,14,205
1731586117,2024-11-14T12:08:37Z,SAS957,"59.63791,17.91657",0,14,210
1731586120,2024-11-14T12:08:40Z,SAS957,"59.63775,17.91634",0,15,216
1731586122,2024-11-14T12:08:42Z,SAS957,"59.63765,17.91612",0,15,219
1731586126,2024-11-14T12:08:46Z,SAS957,"59.63747,17.91574",0,14,225
1731586128,2024-11-14T12:08:48Z,SAS957,"59.63737,17.91547",0,14,230
1731586131,2024-11-14T12:08:51Z,SAS957,"59.6373,17.91518",0,13,239
1731586133,2024-11-14T12:08:53Z,SAS957,"59.63727,17.91496",0,13,244
1731586136,2024-11-14T12:08:56Z,SAS957,"59.63726,17.91463",0,13,255
1731586138,2024-11-14T12:08:58Z,SAS957,"59.63727,17.9144",0,13,264
1731586140,2024-11-14T12:09:00Z,SAS957,"59.6373,17.91408",0,13,275
1731586143,2024-11-14T12:09:03Z,SAS957,"59.63735,17.9138",0,12,281
1731586147,2024-11-14T12:09:07Z,SAS957,"59.63741,17.91352",0,9,286
1731586152,2024-11-14T12:09:12Z,SAS957,"59.63754,17.9133",0,8,303
1731586159,2024-11-14T12:09:19Z,SAS957,"59.63778,17.91334",0,7,345
1731586168,2024-11-14T12:09:28Z,SAS957,"59.63804,17.91353",0,7,8
1731586173,2024-11-14T12:09:33Z,SAS957,"59.63825,17.91362",0,11,8
