Time (s),e,de,dde
6150,1995.689655172413,-0.1486325802615933,-0.0051252613883308
6180,1910.7142857142824,-2.5510204081632653,-0.0728862973760932
6210,1585.0,-10.857142857142856,-0.2768707482993197
6240,1135.6060606060637,-14.981634527089073,-0.1379716090459892
6270,703.7878787878799,-14.43067033976125,0.0085944052886201
6300,325.0,-12.736742424242424,0.0540830894168962
6330,58.33333333333576,-9.217171717171718,0.1120341674318946
6360,0.0,-2.696078431372549,0.2066512879661668
6390,0.0,-0.0,0.1039809863339275
6420,0.0,-0.0,-0.0
6450,0.0,-0.0,-0.0
6480,0.0,-0.0,-0.0
6510,0.0,-0.0,-0.0
6540,0.0,-0.0,-0.0
6570,0.0,-0.0,-0.0
6600,0.0,-0.0,-0.0
6630,0.0,-0.0,-0.0
6660,0.0,-0.0,-0.0
6690,0.0,-0.0,-0.0
6720,0.0,-0.0,-0.0
6750,0.0,-0.0,-0.0
6780,0.0,-0.0,-0.0
6810,0.0,-0.0,-0.0
6840,0.0,-0.0,-0.0
6870,0.0,-0.0,-0.0
6900,0.0,-0.0,-0.0
6930,0.0,-0.0,-0.0
6960,0.0,-0.0,-0.0
6990,0.0,-0.0,-0.0
7020,0.0,-0.0,-0.0
7050,0.0,-0.0,-0.0
7080,0.0,-0.0,-0.0
7110,0.0,-0.0,-0.0
7140,0.0,-0.0,-0.0
7170,0.0,-0.0,-0.0
7200,-17.96875,-0.5615234375,-0.017547607421875
7230,-9.55882352941262,0.1554390138408304,0.0182148882747303
7260,0.0,0.3320683111954459,0.0071365656809335
7290,0.0,-0.0,-0.012218963831867
7320,0.0,-0.0,-0.0
7350,-8.333333333335759,-0.2525252525252525,-0.0076522803795531
7380,-18.939393939392176,-0.3902662993572084,-0.0062609566741798
7410,0.0,0.6392045454545454,0.0350405690426997
7440,0.0,-0.0,-0.0214547821969696
7470,0.0,-0.0,-0.0
7500,0.0,-0.0,-0.0
7530,0.0,-0.0,-0.0
7560,0.0,-0.0,-0.0
7590,0.0,-0.0,-0.0
7620,0.0,-0.0,-0.0
7650,0.0,-0.0,-0.0
7680,0.0,-0.0,-0.0
7710,0.0,-0.0,-0.0
7740,0.0,-0.0,-0.0
7770,0.0,-0.0,-0.0
7800,0.0,-0.0,-0.0
7830,0.0,-0.0,-0.0
7860,0.0,-0.0,-0.0
7890,0.0,-0.0,-0.0
7920,0.0,-0.0,-0.0
7950,0.0,-0.0,-0.0
7980,0.0,-0.0,-0.0
8010,0.0,-0.0,-0.0
8040,0.0,-0.0,-0.0
8070,0.0,-0.0,-0.0
8100,0.0,-0.0,-0.0
8130,0.0,-0.0,-0.0
8160,0.0,-0.0,-0.0
8190,0.0,-0.0,-0.0
8220,0.0,-0.0,-0.0
8250,0.0,-0.0,-0.0
8280,0.0,-0.0,-0.0
8310,0.0,-0.0,-0.0
8340,0.0,-0.0,-0.0
8370,0.0,-0.0,-0.0
8400,0.0,-0.0,-0.0
8430,0.0,-0.0,-0.0
8460,0.0,-0.0,-0.0
8490,0.0,-0.0,-0.0
8520,0.0,-0.0,-0.0
8550,0.0,-0.0,-0.0
8580,0.0,-0.0,-0.0
8610,0.0,-0.0,-0.0
8640,0.0,-0.0,-0.0
8670,0.0,-0.0,-0.0
8700,0.0,-0.0,-0.0
8730,0.0,-0.0,-0.0
8760,0.0,-0.0,-0.0
8790,0.0,-0.0,-0.0
8820,0.0,-0.0,-0.0
8850,0.0,-0.0,-0.0
8880,0.0,-0.0,-0.0
8910,0.0,-0.0,-0.0
8940,0.0,-0.0,-0.0
8970,0.0,-0.0,-0.0
9000,0.0,-0.0,-0.0
9030,0.0,-0.0,-0.0
9060,0.0,-0.0,-0.0
9090,0.0,-0.0,-0.0
9120,0.0,-0.0,-0.0
9150,0.0,-0.0,-0.0
9180,0.0,-0.0,-0.0
9210,0.0,-0.0,-0.0
9240,0.0,-0.0,-0.0
9270,0.0,-0.0,-0.0
9300,0.0,-0.0,-0.0
9330,0.0,-0.0,-0.0
9360,0.0,-0.0,-0.0
9390,0.0,-0.0,-0.0
9420,0.0,-0.0,-0.0
9450,0.0,-0.0,-0.0
9480,0.0,-0.0,-0.0
9510,0.0,-0.0,-0.0
9540,0.0,-0.0,-0.0
9570,0.0,-0.0,-0.0
9600,0.0,-0.0,-0.0
9630,0.0,-0.0,-0.0
9660,0.0,-0.0,-0.0
9690,0.0,-0.0,-0.0
9720,0.0,-0.0,-0.0
9750,0.0,-0.0,-0.0
9780,0.0,-0.0,-0.0
9810,0.0,-0.0,-0.0
9840,0.0,-0.0,-0.0
9870,0.0,-0.0,-0.0
9900,0.0,-0.0,-0.0
9930,0.0,-0.0,-0.0
9960,0.0,-0.0,-0.0
9990,0.0,-0.0,-0.0
10020,0.0,-0.0,-0.0
10050,0.0,-0.0,-0.0
10080,0.0,-0.0,-0.0
10110,0.0,-0.0,-0.0
10140,0.0,-0.0,-0.0
10170,0.0,-0.0,-0.0
10200,0.0,-0.0,-0.0
10230,0.0,-0.0,-0.0
10260,17.741935483871202,0.5723204994797086,0.0184619515961196
10290,7.5,-0.3413978494623655,-0.0304572782980691
10320,-16.93548387096962,-0.8151231356226153,-0.0170446704634882
10350,6.25,0.6741431451612905,0.0465937682914932
10380,11.363636363639673,0.2970041322314047,-0.0046984787642487
10410,-12.09677419354557,-0.7812253649922745,-0.0370495104261556
10440,-14.705882352944172,-0.1716151356178145,0.0177442255116683
10470,7.8125,0.749655330882353,0.0316237934945829
10500,18.75,0.390625,-0.0111299402573529
10530,0.0,-0.634765625,-0.03509521484375
10560,0.0,-0.0,0.0213623046875
10590,0.0,-0.0,-0.0
10620,0.0,-0.0,-0.0
10650,0.0,-0.0,-0.0
10680,0.0,-0.0,-0.0
10710,0.0,-0.0,-0.0
10740,0.0,-0.0,-0.0
10770,0.0,-0.0,-0.0
10800,0.0,-0.0,-0.0
10830,0.0,-0.0,-0.0
10860,0.0,-0.0,-0.0
10890,0.0,-0.0,-0.0
10920,0.0,-0.0,-0.0
10950,0.0,-0.0,-0.0
10980,0.0,-0.0,-0.0
11010,0.0,-0.0,-0.0
11040,0.0,-0.0,-0.0
11070,0.0,-0.0,-0.0
11100,0.0,-0.0,-0.0
11130,0.0,-0.0,-0.0
11160,0.0,-0.0,-0.0
11190,0.0,-0.0,-0.0
11220,0.0,-0.0,-0.0
11250,0.0,-0.0,-0.0
11280,0.0,-0.0,-0.0
11310,0.0,-0.0,-0.0
11340,0.0,-0.0,-0.0
11370,0.0,-0.0,-0.0
11400,0.0,-0.0,-0.0
11430,0.0,-0.0,-0.0
11460,0.0,-0.0,-0.0
11490,0.0,-0.0,-0.0
11520,0.0,-0.0,-0.0
11550,0.0,-0.0,-0.0
11580,0.0,-0.0,-0.0
11610,0.0,-0.0,-0.0
11640,0.0,-0.0,-0.0
11670,0.0,-0.0,-0.0
11700,0.0,-0.0,-0.0
11730,0.0,-0.0,-0.0
11760,0.0,-0.0,-0.0
11790,0.0,-0.0,-0.0
11820,0.0,-0.0,-0.0
11850,0.0,-0.0,-0.0
11880,0.0,-0.0,-0.0
11910,0.0,-0.0,-0.0
11940,0.0,-0.0,-0.0
11970,0.0,-0.0,-0.0
12000,0.0,-0.0,-0.0
12030,0.0,-0.0,-0.0
12060,0.0,-0.0,-0.0
12090,0.0,-0.0,-0.0
12120,0.0,-0.0,-0.0
12150,0.0,-0.0,-0.0
12180,0.0,-0.0,-0.0
12210,0.0,-0.0,-0.0
12240,0.0,-0.0,-0.0
12270,0.0,-0.0,-0.0
12300,0.0,-0.0,-0.0
12330,0.0,-0.0,-0.0
12360,0.0,-0.0,-0.0
12390,0.0,-0.0,-0.0
12420,0.0,-0.0,-0.0
12450,0.0,-0.0,-0.0
12480,0.0,-0.0,-0.0
12510,0.0,-0.0,-0.0
12540,0.0,-0.0,-0.0
12570,0.0,-0.0,-0.0
12600,0.0,-0.0,-0.0
12630,0.0,-0.0,-0.0
12660,0.0,-0.0,-0.0
12690,0.0,-0.0,-0.0
12720,0.0,-0.0,-0.0
12750,0.0,-0.0,-0.0
12780,0.0,-0.0,-0.0
12810,0.0,-0.0,-0.0
12840,0.0,-0.0,-0.0
12870,0.0,-0.0,-0.0
12900,0.0,-0.0,-0.0
12930,0.0,-0.0,-0.0
12960,0.0,-0.0,-0.0
12990,0.0,-0.0,-0.0
13020,0.0,-0.0,-0.0
13050,0.0,-0.0,-0.0
13080,0.0,-0.0,-0.0
13110,0.0,-0.0,-0.0
13140,0.0,-0.0,-0.0
13170,0.0,-0.0,-0.0
13200,0.0,-0.0,-0.0
13230,-21.774193548386396,-0.7023933402705514,-0.0226578496861468
13260,-4.03225806451519,0.5463059313215402,0.0394414420462555
13290,0.0,0.1560874089490114,-0.0109093350340706
13320,0.0,-0.0,-0.005874257326038
13350,-16.91176470588107,-0.4974048442906574,-0.0146295542438428
13380,-9.677419354840822,0.2096468139805349,0.0221104955062367
13410,0.0,0.3381893860561914,0.0057508485586843
13440,0.0,-0.0,-0.0121943288241415
13470,0.0,-0.0,-0.0
13500,0.0,-0.0,-0.0
13530,10.483870967742403,0.3381893860561915,0.0109093350340706
13560,15.322580645159178,0.18210197710718,-0.0041958980900271
13590,0.0,-0.5202913631633714,-0.0243362089221577
13620,0.0,-0.0,0.0178850156087408
13650,0.0,-0.0,-0.0
13680,0.0,-0.0,-0.0
13710,0.0,-0.0,-0.0
13740,0.0,-0.0,-0.0
13770,0.0,-0.0,-0.0
13800,0.0,-0.0,-0.0
13830,0.0,-0.0,-0.0
13860,0.0,-0.0,-0.0
13890,0.0,-0.0,-0.0
13920,0.0,-0.0,-0.0
13950,0.0,-0.0,-0.0
13980,-16.93548387096962,-0.54630593132154,-0.0176227719781141
14010,-9.375,0.1858618951612903,0.0212543340677029
14040,0.0,0.341796875,0.0079739478326612
14070,0.0,-0.0,-0.01220703125
14100,0.0,-0.0,-0.0
14130,0.0,-0.0,-0.0
14160,0.0,-0.0,-0.0
14190,0.0,-0.0,-0.0
14220,0.0,-0.0,-0.0
14250,0.0,-0.0,-0.0
14280,0.0,-0.0,-0.0
14310,0.0,-0.0,-0.0
14340,0.0,-0.0,-0.0
14370,0.0,-0.0,-0.0
14400,0.0,-0.0,-0.0
14430,0.0,-0.0,-0.0
14460,0.0,-0.0,-0.0
14490,0.0,-0.0,-0.0
14520,0.0,-0.0,-0.0
14550,0.0,-0.0,-0.0
14580,0.0,-0.0,-0.0
14610,0.0,-0.0,-0.0
14640,0.0,-0.0,-0.0
14670,0.0,-0.0,-0.0
14700,0.0,-0.0,-0.0
14730,0.0,-0.0,-0.0
14760,0.0,-0.0,-0.0
14790,0.0,-0.0,-0.0
14820,25.0,1.9121004566210047,0.1581688767957298
14850,25.0,1.4840182648401827,0.1195632910072767
14880,25.0,1.0559360730593608,0.0809577052188236
14910,25.0,0.6278538812785388,0.0423521194303705
14940,25.0,0.1997716894977168,0.0037465336419174
14970,3.9473684210533975,-1.10803324099723,-0.0605706031671216
15000,0.0,-1.1268197088465846,-0.0583011421420053
15030,0.0,-0.9168533034714446,-0.0461334361194258
15060,0.0,-0.7068868980963047,-0.0339657300968463
15090,0.0,-0.4969204927211647,-0.0217980240742668
15120,0.0,-0.2869540873460245,-0.0096303180516873
15150,0.0,-0.0769876819708845,0.0025373879708921
15180,-30.645161290325632,-0.9885535900104058,-0.0291795815438822
15210,2.9411764705873797,0.7980801428730886,0.046426976106416
15240,26.66666666666424,0.7908496732026142,-0.0002410156556824
15270,-10.9375,-1.279296875,-0.074291752833946
15300,4.03225806451519,0.4576938085327784,0.0569245146569713
15330,32.2580645161288,0.988553590010406,0.0204550031888825
15360,-16.129032258068037,-1.6129032258064515,-0.0881138598905709
15390,-20.96774193548481,-0.2081165452653486,0.0453156993722936
