e[0],e[1],de[0],de[1]
1995.689655172413,-0.1486325802615933,-0.1486325802615933,-0.0051252613883308
1910.7142857142824,-2.5510204081632653,-2.5510204081632653,-0.0728862973760932
1585.0,-10.857142857142856,-10.857142857142856,-0.2768707482993197
1135.6060606060637,-14.981634527089073,-14.981634527089073,-0.1379716090459892
703.7878787878799,-14.43067033976125,-14.43067033976125,0.0085944052886201
325.0,-12.736742424242424,-12.736742424242424,0.0540830894168962
58.33333333333576,-9.217171717171718,-9.217171717171718,0.1120341674318946
0.0,-2.696078431372549,-2.696078431372549,0.2066512879661668
0.0,-0.0,-0.0,0.1039809863339275
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
-17.96875,-0.5615234375,-0.5615234375,-0.017547607421875
-9.55882352941262,0.1554390138408304,0.1554390138408304,0.0182148882747303
0.0,0.3320683111954459,0.3320683111954459,0.0071365656809335
0.0,-0.0,-0.0,-0.012218963831867
0.0,-0.0,-0.0,-0.0
-8.333333333335759,-0.2525252525252525,-0.2525252525252525,-0.0076522803795531
-18.939393939392176,-0.3902662993572084,-0.3902662993572084,-0.0062609566741798
0.0,0.6392045454545454,0.6392045454545454,0.0350405690426997
0.0,-0.0,-0.0,-0.0214547821969696
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
0.0,-0.0,-0.0,-0.0
